date,ahr999
2016-03-02,
2016-03-03,
2016-03-04,
2016-03-05,
2016-03-06,
2016-03-07,
2016-03-08,
2016-03-09,
2016-03-10,
2016-03-11,
2016-03-12,
2016-03-13,
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-19,
2016-03-20,
2016-03-21,
2016-03-22,
2016-03-23,
2016-03-24,
2016-03-25,
2016-03-26,
2016-03-27,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-02,
2016-04-03,
2016-04-04,
2016-04-05,
2016-04-06,
2016-04-07,
2016-04-08,
2016-04-09,0.5004656733624605
2016-04-10,0.49499406945810565
2016-04-11,0.4977802953816748
2016-04-12,0.4975033118753345
2016-04-13,0.5014925461967503
2016-04-14,0.4949312136307389
2016-04-15,0.49352700325332827
2016-04-16,0.5029909408651709
2016-04-17,0.5028602987128313
2016-04-18,0.4932540852166056
2016-04-19,0.493224582389755
2016-04-20,0.5059228355595506
2016-04-21,0.5174669663863686
2016-04-22,0.5341623128574328
2016-04-23,0.5223372052269168
2016-04-24,0.5306348979386731
2016-04-25,0.5480390944420781
2016-04-26,0.5511079746756246
2016-04-27,0.5591252274896427
2016-04-28,0.5067607945870917
2016-04-29,0.5140916680135391
2016-04-30,0.5246014142196586
2016-05-01,0.506672701434817
2016-05-02,0.5118801847822233
2016-05-03,0.4932390661997417
2016-05-04,0.5029450445989555
2016-05-05,0.49290881262626907
2016-05-06,0.49322220663244115
2016-05-07,0.5167550824646134
2016-05-08,0.5115572443696131
2016-05-09,0.5085749635057638
2016-05-10,0.5112666194226703
2016-05-11,0.48778376383679345
2016-05-12,0.48900109387935553
2016-05-13,0.49196632922977956
2016-05-14,0.4918397579017776
2016-05-15,0.48956656399819515
2016-05-16,0.49143221867547765
2016-05-17,0.481834219106989
2016-05-18,0.47933797127079075
2016-05-19,0.47917184600296403
2016-05-20,0.4429295963793486
2016-05-21,0.4520341717958141
2016-05-22,0.4513540947613291
2016-05-23,0.4423836226482564
2016-05-24,0.451104052037102
2016-05-25,0.4533245981473838
2016-05-26,0.45933526185526347
2016-05-27,0.4657779118455312
2016-05-28,0.5050668801046534
2016-05-29,0.6253026026848633
2016-05-30,0.6246703191507512
2016-05-31,0.6354380496392641
2016-06-01,0.6253497637245204
2016-06-02,0.6352627282655396
2016-06-03,0.6349855539754472
2016-06-04,0.7094209649989212
2016-06-05,0.7149405259944945
2016-06-06,0.7146817981612561
2016-06-07,0.7381711848884502
2016-06-08,0.7138111041545362
2016-06-09,0.7226579065313187
2016-06-10,0.7034143603466718
2016-06-11,0.706755881420284
2016-06-12,0.7803300202486393
2016-06-13,0.941613728291051
2016-06-14,1.0301683731029472
2016-06-15,0.9705996708738682
2016-06-16,0.9960556512273403
2016-06-17,1.2055415206379116
2016-06-18,1.138077289526378
2016-06-19,1.155551406254415
2016-06-20,1.1708242146731571
2016-06-21,1.080246964682299
2016-06-22,0.8800283320310919
2016-06-23,0.7053353105247567
2016-06-24,0.7698692818562162
2016-06-25,0.8665688768514125
2016-06-26,0.8643559134741218
2016-06-27,0.7687812071305528
2016-06-28,0.836901068590075
2016-06-29,0.798598521232532
2016-06-30,0.7866300622694335
2016-07-01,0.8632542664785393
2016-07-02,0.870395428178613
2016-07-03,0.9405847025291982
2016-07-04,0.818149939252611
2016-07-05,0.8762533079873266
2016-07-06,0.8404046225973312
2016-07-07,0.8562723087863987
2016-07-08,0.7613884767836652
2016-07-09,0.8201925705195302
2016-07-10,0.7785927473258177
2016-07-11,0.7704147524698532
2016-07-12,0.7669442243334597
2016-07-13,0.8032998004840004
2016-07-14,0.77146570020582
2016-07-15,0.7829022717699284
2016-07-16,0.7904162343006012
2016-07-17,0.7828314945456165
2016-07-18,0.8218708584882964
2016-07-19,0.8013709843066512
2016-07-20,0.7980944614466291
2016-07-21,0.7768964172984254
2016-07-22,0.7728441923581632
2016-07-23,0.7371414366263759
2016-07-24,0.7446462406189791
2016-07-25,0.754770301092641
2016-07-26,0.7359290136387582
2016-07-27,0.727228715792695
2016-07-28,0.7306928151963535
2016-07-29,0.7291513682782846
2016-07-30,0.7304410184805911
2016-07-31,0.7231835496567057
2016-08-01,0.6548191665715326
2016-08-02,0.6148571327377413
2016-08-03,0.5012584100453324
2016-08-04,0.531927530794544
2016-08-05,0.5522965224329531
2016-08-06,0.5438787760922854
2016-08-07,0.565812493850253
2016-08-08,0.5732205025968916
2016-08-09,0.5676979977651817
2016-08-10,0.5588232309617176
2016-08-11,0.5649703034114985
2016-08-12,0.5564185873862911
2016-08-13,0.5514216914804517
2016-08-14,0.5458594312962477
2016-08-15,0.5160359880846063
2016-08-16,0.5080851337346738
2016-08-17,0.524891909340765
2016-08-18,0.5153998107340839
2016-08-19,0.5143136270890483
2016-08-20,0.515229397295069
2016-08-21,0.5235100133891682
2016-08-22,0.5201088606237831
2016-08-23,0.5277299810310354
2016-08-24,0.5195422402159054
2016-08-25,0.5116238754318084
2016-08-26,0.5052057161693937
2016-08-27,0.5060086522005129
2016-08-28,0.4873116400977075
2016-08-29,0.4925546120369983
2016-08-30,0.4905799642201512
2016-08-31,0.49450323962875514
2016-09-01,0.4890581081157912
2016-09-02,0.48190889974010703
2016-09-03,0.48532012030415167
2016-09-04,0.5228550239135743
2016-09-05,0.5390297723467987
2016-09-06,0.5325734127448407
2016-09-07,0.537607867623297
2016-09-08,0.5427440835071404
2016-09-09,0.5614508844835346
2016-09-10,0.5532085033626196
2016-09-11,0.5518432327458228
2016-09-12,0.5211575672741258
2016-09-13,0.5208888355584785
2016-09-14,0.5203050955529004
2016-09-15,0.5213153629830797
2016-09-16,0.5136913052250076
2016-09-17,0.5117384844456725
2016-09-18,0.508254238312302
2016-09-19,0.5122929987646653
2016-09-20,0.5092560634679922
2016-09-21,0.49784408679178704
2016-09-22,0.48550933974008237
2016-09-23,0.4818380591507184
2016-09-24,0.49088628906264153
2016-09-25,0.4886109126432664
2016-09-26,0.48357031147459906
2016-09-27,0.49329318999258837
2016-09-28,0.48850829241203275
2016-09-29,0.48460554545332357
2016-09-30,0.48380473400872465
2016-10-01,0.48860777511778336
2016-10-02,0.4930933504295055
2016-10-03,0.4863867668339847
2016-10-04,0.4861887252044149
2016-10-05,0.4813276760425558
2016-10-06,0.4829173319351263
2016-10-07,0.4811962633902065
2016-10-08,0.486671529285403
2016-10-09,0.48759596835400587
2016-10-10,0.48197032582125127
2016-10-11,0.4838005961886138
2016-10-12,0.5160163420138095
2016-10-13,0.506144800763478
2016-10-14,0.5056480050260259
2016-10-15,0.5088036237389111
2016-10-16,0.5047308237605783
2016-10-17,0.5069188539668176
2016-10-18,0.5010138016721498
2016-10-19,0.49693702129425643
2016-10-20,0.4833991634496668
2016-10-21,0.48169561225169627
2016-10-22,0.4832491962722419
2016-10-23,0.519134594932639
2016-10-24,0.5162130119118995
2016-10-25,0.5091035185526
2016-10-26,0.5126501474414609
2016-10-27,0.5427360477961027
2016-10-28,0.5560151144749318
2016-10-29,0.5572119203107425
2016-10-30,0.5935919939746531
2016-10-31,0.5720402675327046
2016-11-01,0.5673358015928849
2016-11-02,0.611890076018987
2016-11-03,0.6296405678386405
2016-11-04,0.5401848548983946
2016-11-05,0.5604750126009228
2016-11-06,0.5584353700080594
2016-11-07,0.5669749293055713
2016-11-08,0.5524698526304245
2016-11-09,0.5606616661672724
2016-11-10,0.5788493872252974
2016-11-11,0.5648243918156379
2016-11-12,0.5643255649231943
2016-11-13,0.5440476529225686
2016-11-14,0.53680136088866
2016-11-15,0.5402904230880327
2016-11-16,0.5462249430597995
2016-11-17,0.5965038421076867
2016-11-18,0.5871946875661158
2016-11-19,0.6021478833128991
2016-11-20,0.5994675755197069
2016-11-21,0.5645114747599491
2016-11-22,0.5748946029760573
2016-11-23,0.5911994507420041
2016-11-24,0.5774768699749676
2016-11-25,0.568490129885885
2016-11-26,0.567627310694052
2016-11-27,0.5558811482269742
2016-11-28,0.5489766765348614
2016-11-29,0.5523096748628613
2016-11-30,0.5497991378422133
2016-12-01,0.5619603790294059
2016-12-02,0.5767778369694522
2016-12-03,0.6058818757598075
2016-12-04,0.5928553447016155
2016-12-05,0.5927687561587294
2016-12-06,0.5677807213587431
2016-12-07,0.5733008387814436
2016-12-08,0.576368428917453
2016-12-09,0.5763776987539615
2016-12-10,0.5782250591280057
2016-12-11,0.5780491207308469
2016-12-12,0.5683623730360696
2016-12-13,0.5813768683491434
2016-12-14,0.5778101634442128
2016-12-15,0.5756102566458248
2016-12-16,0.5717098656737313
2016-12-17,0.5785797159005345
2016-12-18,0.5848733666271336
2016-12-19,0.5820974073845899
2016-12-20,0.5820947109205669
2016-12-21,0.5922877961787948
2016-12-22,0.6404595241645571
2016-12-23,0.6857005427370938
2016-12-24,0.7762227831891845
2016-12-25,0.7356436341983352
2016-12-26,0.7281303518429912
2016-12-27,0.7436316377310872
2016-12-28,0.7841610407872083
2016-12-29,0.8495238594424307
2016-12-30,0.8417505836366532
2016-12-31,0.818365460677834
2017-01-01,0.8204930683747359
2017-01-02,0.8777624482487402
2017-01-03,0.9154863852768257
2017-01-04,0.9533083142901769
2017-01-05,1.1645939611038605
2017-01-06,0.8922967596769443
2017-01-07,0.705930602787354
2017-01-08,0.7107374413954406
2017-01-09,0.7157426967714352
2017-01-10,0.696244861507337
2017-01-11,0.7025234141575009
2017-01-12,0.5104975459934554
2017-01-13,0.5470454461685708
2017-01-14,0.5747665141787535
2017-01-15,0.5632582139235859
2017-01-16,0.5664456442324419
2017-01-17,0.5773956928717578
2017-01-18,0.6891276360539235
2017-01-19,0.6555584196716432
2017-01-20,0.6677807699048336
2017-01-21,0.6616769255817897
2017-01-22,0.6991510593093668
2017-01-23,0.7016596881572352
2017-01-24,0.6768302195944753
2017-01-25,0.6470014800483033
2017-01-26,0.6599026244777154
2017-01-27,0.680911940161808
2017-01-28,0.6805199009179456
2017-01-29,0.6813990307588333
2017-01-30,0.6760608721106851
2017-01-31,0.6747827284201651
2017-02-01,0.7471051964591552
2017-02-02,0.7736314601257541
2017-02-03,0.8043393657515531
2017-02-04,0.8328191680573539
2017-02-05,0.8490738714036229
2017-02-06,0.8212283833805609
2017-02-07,0.8365539104531219
2017-02-08,0.8687587765649271
2017-02-09,0.868824663287048
2017-02-10,0.756707356777709
2017-02-11,0.7435033771747649
2017-02-12,0.762493620261686
2017-02-13,0.7523939226803247
2017-02-14,0.7386532527002686
2017-02-15,0.7572684046461592
2017-02-16,0.7563132774437251
2017-02-17,0.7808105209410078
2017-02-18,0.8125105188822336
2017-02-19,0.8168415171812283
2017-02-20,0.8034017174600845
2017-02-21,0.846638392670253
2017-02-22,0.8985299396259543
2017-02-23,0.897856448530637
2017-02-24,0.9838690407384002
2017-02-25,0.9747557490498677
2017-02-26,0.9267814766166204
2017-02-27,0.9535482925081927
2017-02-28,0.9761848036242115
2017-03-01,0.9697620170224798
2017-03-02,1.0386364863828172
2017-03-03,1.076901712517251
2017-03-04,1.1166665881191848
2017-03-05,1.0703149197671615
2017-03-06,1.0864749277300987
2017-03-07,1.0898480236893906
2017-03-08,1.0002244055059197
2017-03-09,0.8798571877244263
2017-03-10,0.935352600000237
2017-03-11,0.8197488731101963
2017-03-12,0.9057412801731514
2017-03-13,0.9710743191367956
2017-03-14,0.9819925506492259
2017-03-15,0.9890757773316525
2017-03-16,1.0010653866224446
2017-03-17,0.8855001797580212
2017-03-18,0.7648730367524929
2017-03-19,0.6006350416179991
2017-03-20,0.6740544989633567
2017-03-21,0.6943260208719865
2017-03-22,0.7787708207062146
2017-03-23,0.6804934512476922
2017-03-24,0.6624777424379612
2017-03-25,0.5366172234725298
2017-03-26,0.5779484341666918
2017-03-27,0.5731800318823153
2017-03-28,0.6589352686817594
2017-03-29,0.6578394455442367
2017-03-30,0.6500419648955478
2017-03-31,0.6278893769342214
2017-04-01,0.6809697495233552
2017-04-02,0.6890058528761146
2017-04-03,0.7142830886667184
2017-04-04,0.7665561559157122
2017-04-05,0.7476076160096237
2017-04-06,0.7329684240875723
2017-04-07,0.7995877185009719
2017-04-08,0.7869676099492566
2017-04-09,0.7880716077501583
2017-04-10,0.7982132232314668
2017-04-11,0.7941450969427473
2017-04-12,0.8131228556466218
2017-04-13,0.8036797851171346
2017-04-14,0.7591231786464323
2017-04-15,0.7512861262376208
2017-04-16,0.7541825188351244
2017-04-17,0.7638840921865987
2017-04-18,0.7734005796797071
2017-04-19,0.793108270644792
2017-04-20,0.7875299392676063
2017-04-21,0.807172505981237
2017-04-22,0.7940962410473134
2017-04-23,0.8017317850170075
2017-04-24,0.7688736608442168
2017-04-25,0.8171410822394711
2017-04-26,0.8329704408285752
2017-04-27,0.8492744452764069
2017-04-28,0.8923375128555661
2017-04-29,0.8874012896036785
2017-04-30,0.8879026841678488
2017-05-01,0.9185334167133422
2017-05-02,1.0142661569558566
2017-05-03,1.0551844633803982
2017-05-04,1.102682147232367
2017-05-05,1.1707255042720413
2017-05-06,1.1874872488365567
2017-05-07,1.2144501299735637
2017-05-08,1.2333129198419859
2017-05-09,1.4272854098998626
2017-05-10,1.471465827309237
2017-05-11,1.5013091723848269
2017-05-12,1.6022346198155015
2017-05-13,1.386985275621165
2017-05-14,1.5044664074039436
2017-05-15,1.5068516107072782
2017-05-16,1.3885506142419375
2017-05-17,1.355947409020241
2017-05-18,1.4943638814521405
2017-05-19,1.6152943146334202
2017-05-20,1.7540760627113816
2017-05-21,1.8900125354641895
2017-05-22,1.8338399065161577
2017-05-23,2.0936780734315934
2017-05-24,2.330619779582526
2017-05-25,2.5671290340710473
2017-05-26,2.292774458479349
2017-05-27,2.0376188170747866
2017-05-28,1.7695049594016399
2017-05-29,1.9412972055999635
2017-05-30,2.101483975442478
2017-05-31,1.961636257314149
2017-06-01,2.1305940915847112
2017-06-02,2.3326222592016768
2017-06-03,2.4893942840151255
2017-06-04,2.577088948908164
2017-06-05,2.4860780994435823
2017-06-06,2.828049960866429
2017-06-07,3.1882672273695074
2017-06-08,2.842210369268735
2017-06-09,3.000805770400454
2017-06-10,3.0191363316462922
2017-06-11,3.2396700433515697
2017-06-12,3.2349765287361194
2017-06-13,2.643791731998842
2017-06-14,2.692535167214317
2017-06-15,2.2608705033221974
2017-06-16,2.189390149284948
2017-06-17,2.2507448966931998
2017-06-18,2.4901697777897582
2017-06-19,2.2763868532277174
2017-06-20,2.3336014981521065
2017-06-21,2.5306443761862374
2017-06-22,2.476163995064424
2017-06-23,2.4859195235883558
2017-06-24,2.5224714164483486
2017-06-25,2.2681684920124265
2017-06-26,2.2214745194151133
2017-06-27,2.0176846978593264
2017-06-28,2.1241817422298155
2017-06-29,2.1315753626379137
2017-06-30,2.0685106059756126
2017-07-01,1.9779550956040326
2017-07-02,1.8755015479546024
2017-07-03,1.9572871041121338
2017-07-04,2.040292445266539
2017-07-05,2.091022988948949
2017-07-06,2.0830270656476255
2017-07-07,2.0675196416112285
2017-07-08,1.9151510341966025
2017-07-09,1.9801869571821238
2017-07-10,1.8938525806454427
2017-07-11,1.6788790264396836
2017-07-12,1.594527453062884
2017-07-13,1.6801159538840815
2017-07-14,1.610887899628823
2017-07-15,1.4286174070036155
2017-07-16,1.1333722468845953
2017-07-17,1.0611977553752303
2017-07-18,1.408847801681583
2017-07-19,1.514543940269297
2017-07-20,1.437109048056995
2017-07-21,2.231254979726779
2017-07-22,1.9591970455194903
2017-07-23,2.15459942929811
2017-07-24,2.027899910088989
2017-07-25,2.050737302643424
2017-07-26,1.7794231460756236
2017-07-27,1.7138532911589273
2017-07-28,1.8957498950488574
2017-07-29,2.064501204750276
2017-07-30,1.9304856828774948
2017-07-31,1.969676848415952
2017-08-01,2.1093088182435684
2017-08-02,1.8879441855018695
2017-08-03,1.8491206566578158
2017-08-04,1.9685857633874817
2017-08-05,2.0809220037654814
2017-08-06,2.6084871199306963
2017-08-07,2.5162431635380926
2017-08-08,2.745538378013715
2017-08-09,2.803799893639868
2017-08-10,2.654368057433728
2017-08-11,2.6829808883983484
2017-08-12,3.113775514301638
2017-08-13,3.4851757492815274
2017-08-14,3.7916908192979806
2017-08-15,4.252814154618954
2017-08-16,3.9698081461591186
2017-08-17,4.283880325253633
2017-08-18,4.127460021467133
2017-08-19,3.7437237179172107
2017-08-20,3.8025987584409338
2017-08-21,3.5930112085437473
2017-08-22,3.403160646748842
2017-08-23,3.528269925875239
2017-08-24,3.5811887024084585
2017-08-25,3.891747780092678
2017-08-26,3.9269388331725006
2017-08-27,3.844319584058972
2017-08-28,3.8794819450399807
2017-08-29,3.85205094584359
2017-08-30,4.1370773337117335
2017-08-31,4.071877916927414
2017-09-01,4.295964666907226
2017-09-02,4.622876053884833
2017-09-03,4.007775442477106
2017-09-04,3.981189134137112
2017-09-05,3.346052624387776
2017-09-06,3.5528173037289714
2017-09-07,3.870529717870844
2017-09-08,3.8617489550840935
2017-09-09,3.2297612055571743
2017-09-10,3.201686509268527
2017-09-11,3.0165752226818996
2017-09-12,3.059740468863141
2017-09-13,2.9814269202957457
2017-09-14,2.601875233537159
2017-09-15,1.725013054999364
2017-09-16,2.2600202666115785
2017-09-17,2.204660694188704
2017-09-18,2.170409770419646
2017-09-19,2.7715631297917973
2017-09-20,2.5425106950847516
2017-09-21,2.5043384550598042
2017-09-22,2.150282242436977
2017-09-23,2.137365527193824
2017-09-24,2.3201499344229752
2017-09-25,2.165588015041433
2017-09-26,2.4465311963813665
2017-09-27,2.383222944791851
2017-09-28,2.7476240906085594
2017-09-29,2.6927773720446155
2017-09-30,2.6644797022521427
2017-10-01,2.8696272791868616
2017-10-02,2.918711743066622
2017-10-03,2.9109282924855036
2017-10-04,2.770346291259641
2017-10-05,2.6325286993594617
2017-10-06,2.7270136975266026
2017-10-07,2.7591745761096784
2017-10-08,2.81132490086497
2017-10-09,3.0228340887921457
2017-10-10,3.20791142167726
2017-10-11,3.193411478035912
2017-10-12,3.215660314594773
2017-10-13,4.073405113386493
2017-10-14,4.3008885785460835
2017-10-15,4.551530013412781
2017-10-16,4.2786889510283395
2017-10-17,4.315106242426244
2017-10-18,4.069253353154668
2017-10-19,3.999820255223621
2017-10-20,4.138236773145896
2017-10-21,4.521518011521739
2017-10-22,4.535447120835976
2017-10-23,4.443986369923032
2017-10-24,4.29755066821377
2017-10-25,3.6876606978295814
2017-10-26,3.953142659399629
2017-10-27,4.12394510789281
2017-10-28,3.9305189610804305
2017-10-29,3.8480705953262455
2017-10-30,4.302164765071124
2017-10-31,4.2829106935801295
2017-11-01,4.676692257642299
2017-11-02,5.1240535881279135
2017-11-03,5.543147250815018
2017-11-04,5.603489296603994
2017-11-05,5.920623514613689
2017-11-06,5.854611825407096
2017-11-07,5.213687646390056
2017-11-08,5.3337688713502915
2017-11-09,5.737477293208323
2017-11-10,5.2676640946971425
2017-11-11,4.438729948100429
2017-11-12,3.9765970235057857
2017-11-13,3.50479026009791
2017-11-14,4.237202187996596
2017-11-15,4.289757921882224
2017-11-16,5.172352877226352
2017-11-17,5.885813866769283
2017-11-18,5.596127806892732
2017-11-19,5.638948645739619
2017-11-20,5.980952932946332
2017-11-21,6.168513961789701
2017-11-22,5.918209362258489
2017-11-23,6.085163829275202
2017-11-24,5.795632386347677
2017-11-25,5.981048353374446
2017-11-26,6.735166581422549
2017-11-27,7.5502037707129865
2017-11-28,8.245147013513373
2017-11-29,8.58526865612061
2017-11-30,8.211845137441502
2017-12-01,8.61232117104344
2017-12-02,9.8703411910714
2017-12-03,9.948026882519411
2017-12-04,10.2573987054477
2017-12-05,10.821333210187769
2017-12-06,11.145489428615013
2017-12-07,15.773807376377988
2017-12-08,24.256532573281056
2017-12-09,20.647925828940004
2017-12-10,17.207152990256198
2017-12-11,17.605113148589524
2017-12-12,20.929225637174078
2017-12-13,22.118483942278235
2017-12-14,19.154261006680905
2017-12-15,19.429994641016172
2017-12-16,21.970094828107307
2017-12-17,26.085439923339248
2017-12-18,24.795991642556654
2017-12-19,24.527002894756233
2017-12-20,20.922255031222385
2017-12-21,18.167273560420977
2017-12-22,16.39690972367097
2017-12-23,12.496745929612723
2017-12-24,13.571090906996503
2017-12-25,12.333672000043608
2017-12-26,12.284181203846904
2017-12-27,16.11887155981953
2017-12-28,15.369615316608757
2017-12-29,13.060541881757347
2017-12-30,12.902506502563716
2017-12-31,9.862328505540326
2018-01-01,11.68459147037571
2018-01-02,10.779945662471395
2018-01-03,12.888892772549177
2018-01-04,13.256963875452808
2018-01-05,13.471722458113538
2018-01-06,16.955762675623458
2018-01-07,16.89388189456845
2018-01-08,14.767544103515139
2018-01-09,12.31414824538917
2018-01-10,11.342453019431971
2018-01-11,11.81571691010707
2018-01-12,9.450840411718708
2018-01-13,10.058892030764572
2018-01-14,10.560705276683654
2018-01-15,9.594294040138026
2018-01-16,9.59163449001791
2018-01-17,6.485831384492444
2018-01-18,6.1666918638139245
2018-01-19,6.363804086272033
2018-01-20,6.556846665135648
2018-01-21,7.939471266680706
2018-01-22,6.407910420286758
2018-01-23,5.6212946610668535
2018-01-24,5.528674075116295
2018-01-25,6.011117501640438
2018-01-26,5.784290905074039
2018-01-27,5.647420819103773
2018-01-28,5.897468021757037
2018-01-29,6.129235845833401
2018-01-30,5.616121665375198
2018-01-31,4.446904515317064
2018-02-01,4.516079032339402
2018-02-02,3.567470769412326
2018-02-03,3.3158217002575894
2018-02-04,3.532058074453085
2018-02-05,2.8460692091179425
2018-02-06,2.0560402142650385
2018-02-07,2.4693126184050356
2018-02-08,2.3788377295928136
2018-02-09,2.769857939615071
2018-02-10,3.05514096100214
2018-02-11,2.959591584256243
2018-02-12,2.6225018254153243
2018-02-13,3.128405321872421
2018-02-14,2.8822707859337195
2018-02-15,3.4805930077686447
2018-02-16,3.9391125106392955
2018-02-17,3.962909555116293
2018-02-18,4.664840084803519
2018-02-19,4.16262658884872
2018-02-20,4.674934363480573
2018-02-21,4.751561720925405
2018-02-22,4.143428648445266
2018-02-23,3.5736971084024627
2018-02-24,3.8023721331845395
2018-02-25,3.423800074306083
2018-02-26,3.312142583492974
2018-02-27,3.7989365294404864
2018-02-28,3.987875260105416
2018-03-01,3.7405052745031337
2018-03-02,4.151464209519051
2018-03-03,4.218837206041627
2018-03-04,4.494205850856449
2018-03-05,4.491954846968822
2018-03-06,4.437290626147792
2018-03-07,3.8907601508807828
2018-03-08,3.281024722654739
2018-03-09,2.9193272130736787
2018-03-10,2.862512759582438
2018-03-11,2.5514973964516394
2018-03-12,2.984413206742008
2018-03-13,2.7082791785969533
2018-03-14,2.718003104524684
2018-03-15,2.1893871616134777
2018-03-16,2.195519477873044
2018-03-17,2.1841818106865056
2018-03-18,1.9548502661839335
2018-03-19,2.1756781107167638
2018-03-20,2.310704466560062
2018-03-21,2.47249126215402
2018-03-22,2.461056955690864
2018-03-23,2.3388412319304703
2018-03-24,2.4151880219382633
2018-03-25,2.24929889187009
2018-03-26,2.1794551665375326
2018-03-27,2.0197080219157995
2018-03-28,1.8359047526535852
2018-03-29,1.8938395226896236
2018-03-30,1.522994308200618
2018-03-31,1.4008503879813619
2018-04-01,1.439856363980095
2018-04-02,1.3692601828937467
2018-04-03,1.4656983354728965
2018-04-04,1.6069471824803492
2018-04-05,1.3489894305894605
2018-04-06,1.3295683716911755
2018-04-07,1.2529751819590134
2018-04-08,1.3585390354860496
2018-04-09,1.4012244854077232
2018-04-10,1.2976345122186317
2018-04-11,1.309615121888167
2018-04-12,1.346383010998551
2018-04-13,1.7278009718441498
2018-04-14,1.707362063462965
2018-04-15,1.752490821468435
2018-04-16,1.8940384924992815
2018-04-17,1.7662581919440845
2018-04-18,1.702567976010347
2018-04-19,1.787161038532702
2018-04-20,1.834505526233066
2018-04-21,2.0808680555967802
2018-04-22,2.105601338472825
2018-04-23,2.0334297806959456
2018-04-24,2.087471344106159
2018-04-25,2.447107044697944
2018-04-26,2.033990196568144
2018-04-27,2.2212066945074715
2018-04-28,2.0464259073524524
2018-04-29,2.2257904216480866
2018-04-30,2.2524870682170195
2018-05-01,2.1603811219647637
2018-05-02,2.0837581646787053
2018-05-03,2.13482151159589
2018-05-04,2.3432710831061447
2018-05-05,2.335434997485915
2018-05-06,2.394916751047295
2018-05-07,2.288578038920778
2018-05-08,2.155584033060114
2018-05-09,2.075934829055172
2018-05-10,2.1139764757947823
2018-05-11,1.9845426332904423
2018-05-12,1.7195109188105948
2018-05-13,1.743047581370424
2018-05-14,1.8179833839779023
2018-05-15,1.8080663643390094
2018-05-16,1.719368161572018
2018-05-17,1.6595161657522013
2018-05-18,1.5462129316051556
2018-05-19,1.6043530448299632
2018-05-20,1.5962552971618582
2018-05-21,1.699769859104969
2018-05-22,1.6548923129293
2018-05-23,1.5044085231224387
2018-05-24,1.3290950434547963
2018-05-25,1.3376299080159173
2018-05-26,1.2979749030139425
2018-05-27,1.252871696557559
2018-05-28,1.2539433077505018
2018-05-29,1.1710524962148077
2018-05-30,1.2825417812662945
2018-05-31,1.2576373339893236
2018-06-01,1.2862593125578519
2018-06-02,1.2955397963984017
2018-06-03,1.3253514096083245
2018-06-04,1.3542860108851413
2018-06-05,1.2757932685244842
2018-06-06,1.3165178376521178
2018-06-07,1.3229639739994001
